,quantity,average_trading_price,PNL,Profit_fulfillment_bool_trigger
ADANIPORTS,0,0,"[('2019-02-13', 'BUYING CHANCE! for', 341.65, 0, 0), ('2019-03-06', 'BUYING CHANCE! for', 337.05, 0, 0), ('2019-05-20', 'BUYING CHANCE! for', 400.1, 0, 0), ('2019-05-21', 'BUYING CHANCE! for', 387.6, 0, 0), ('2019-06-26', 'BUYING CHANCE! for', 414.95, 0, 0), ('2019-07-10', 'BOUGHT for', 405.0, 405.0, 1), ('2019-08-05', 'SOLD for', 367.85, 405.0, 'PNL: ', -9.17), ('2019-08-27', 'BOUGHT for', 372.05, 372.05, 1), ('2019-08-27', 'BUYING CHANCE! for', 372.05, 372.05, 1), ('2019-11-29', 'BUYING CHANCE! for', 382.05, 372.05, 1), ('2019-12-09', 'BOUGHT for', 373.6, 372.82500000000005, 2), ('2020-01-01', 'BUYING CHANCE! for', 377.65, 372.82500000000005, 2), ('2020-02-06', 'BUYING CHANCE! for', 370.2, 372.82500000000005, 2), ('2020-02-07', 'BUYING CHANCE! for', 369.55, 372.82500000000005, 2), ('2020-02-19', 'BUYING CHANCE! for', 371.3, 372.82500000000005, 2), ('2020-02-28', 'SOLD for', 342.2, 372.82500000000005, 'PNL: ', -8.21), ('2020-07-31', 'BUYING CHANCE! for', 315.2, 0, 0), ('2020-09-16', 'BUYING CHANCE! for', 353.55, 0, 0), ('2020-09-29', 'BOUGHT for', 341.0, 341.0, 1), ('2020-11-03', 'BOUGHT for', 353.65, 347.325, 2), ('2020-12-21', 'SOLD for', 444.25, 347.325, 'PNL: ', 27.90613978262435), ('2021-02-02', 'BOUGHT for', 550.8, 550.8, 1), ('2021-02-02', 'BUYING CHANCE! for', 550.8, 550.8, 1), ('2021-03-15', 'SOLD for', 719.05, 550.8, 'PNL: ', 30.546477850399423), ('2021-03-23', 'BOUGHT for', 738.55, 738.55, 1), ('2021-05-03', 'BUYING CHANCE! for', 761.4, 738.55, 1), ('2021-06-11', 'SOLD for', 839.75, 738.55, 'PNL: ', 13.702525218333227), ('2021-07-05', 'BUYING CHANCE! for', 710.05, 0, 0), ('2021-08-03', 'BUYING CHANCE! for', 705.05, 0, 0), ('2021-08-25', 'BOUGHT for', 720.75, 720.75, 1), ('2021-10-28', 'SOLD for', 688.1, 720.75, 'PNL: ', -4.53), ('2021-11-10', 'BUYING CHANCE! for', 737.9, 0, 0), ('2021-12-03', 'BUYING CHANCE! for', 737.45, 0, 0), ('2021-12-31', 'BUYING CHANCE! for', 730.3, 0, 0)]",False
ASIANPAINT,0,0,"[('2019-01-30', 'BUYING CHANCE! for', 1390.4, 0, 0), ('2019-02-26', 'BUYING CHANCE! for', 1402.0, 0, 0), ('2019-04-22', 'BUYING CHANCE! for', 1443.35, 0, 0), ('2019-04-30', 'BUYING CHANCE! for', 1463.15, 0, 0), ('2019-05-22', 'BUYING CHANCE! for', 1368.45, 0, 0), ('2019-05-23', 'BUYING CHANCE! for', 1367.75, 0, 0), ('2019-07-12', 'BUYING CHANCE! for', 1361.95, 0, 0), ('2019-09-20', 'BUYING CHANCE! for', 1671.0, 0, 0), ('2019-12-03', 'BUYING CHANCE! for', 1736.45, 0, 0), ('2020-01-10', 'BUYING CHANCE! for', 1792.55, 0, 0), ('2020-02-03', 'BUYING CHANCE! for', 1867.65, 0, 0), ('2020-03-05', 'BOUGHT for', 1874.45, 1874.45, 1), ('2020-03-05', 'BUYING CHANCE! for', 1874.45, 1874.45, 1), ('2020-03-16', 'SOLD for', 1683.4, 1874.45, 'PNL: ', -10.19), ('2020-03-31', 'BOUGHT for', 1666.5, 1666.5, 1), ('2020-04-01', 'SOLD for', 1603.2, 1666.5, 'PNL: ', -3.8), ('2020-05-26', 'BOUGHT for', 1629.85, 1629.85, 1), ('2020-06-23', 'BUYING CHANCE! for', 1683.9, 1629.85, 1), ('2020-09-17', 'SOLD for', 2007.95, 1629.85, 'PNL: ', 23.19845384544591), ('2020-10-01', 'BUYING CHANCE! for', 2040.45, 0, 0), ('2020-11-24', 'BUYING CHANCE! for', 2207.9, 0, 0), ('2020-11-27', 'BUYING CHANCE! for', 2215.3, 0, 0), ('2021-01-21', 'BUYING CHANCE! for', 2716.35, 0, 0), ('2021-02-15', 'BUYING CHANCE! for', 2456.75, 0, 0), ('2021-03-03', 'BOUGHT for', 2402.1, 2402.1, 1), ('2021-03-03', 'BUYING CHANCE! for', 2402.1, 2402.1, 1), ('2021-04-28', 'BOUGHT for', 2614.55, 2508.325, 2), ('2021-04-28', 'BUYING CHANCE! for', 2614.55, 2508.325, 2), ('2021-05-11', 'BUYING CHANCE! for', 2556.25, 2508.325, 2), ('2021-06-23', 'SOLD for', 2987.35, 2508.325, 'PNL: ', 19.097405639221396), ('2021-07-08', 'BUYING CHANCE! for', 3028.3, 0, 0), ('2021-07-20', 'BUYING CHANCE! for', 3159.05, 0, 0), ('2021-07-22', 'BUYING CHANCE! for', 3106.75, 0, 0), ('2021-10-12', 'BUYING CHANCE! for', 3323.25, 0, 0), ('2021-10-28', 'BUYING CHANCE! for', 3116.3, 0, 0), ('2021-10-29', 'BUYING CHANCE! for', 3100.1, 0, 0), ('2021-12-10', 'BUYING CHANCE! for', 3283.15, 0, 0)]",False
AXISBANK,0,0,"[('2019-02-26', 'BUYING CHANCE! for', 710.15, 0, 0), ('2019-04-30', 'BUYING CHANCE! for', 766.85, 0, 0), ('2019-05-20', 'BUYING CHANCE! for', 782.4, 0, 0), ('2019-06-27', 'BUYING CHANCE! for', 800.45, 0, 0), ('2019-09-09', 'BUYING CHANCE! for', 671.55, 0, 0), ('2019-09-23', 'BUYING CHANCE! for', 725.5, 0, 0), ('2019-11-19', 'BUYING CHANCE! for', 747.8, 0, 0), ('2019-12-16', 'BOUGHT for', 747.25, 747.25, 1), ('2020-01-10', 'BUYING CHANCE! for', 740.05, 747.25, 1), ('2020-02-06', 'BUYING CHANCE! for', 736.95, 747.25, 1), ('2020-03-06', 'SOLD for', 657.65, 747.25, 'PNL: ', -11.99), ('2020-12-24', 'BOUGHT for', 610.2, 610.2, 1), ('2021-01-29', 'BOUGHT for', 662.9, 636.55, 2), ('2021-02-26', 'BOUGHT for', 724.8, 665.9666666666666, 3), ('2021-03-10', 'BUYING CHANCE! for', 760.75, 665.9666666666666, 3), ('2021-04-12', 'SOLD for', 635.6, 665.9666666666666, 'PNL: ', -4.56), ('2021-04-16', 'BOUGHT for', 669.2, 669.2, 1), ('2021-06-10', 'SOLD for', 744.25, 669.2, 'PNL: ', 11.214883442916909), ('2021-08-04', 'BUYING CHANCE! for', 753.8, 0, 0), ('2021-12-08', 'BUYING CHANCE! for', 697.1, 0, 0)]",False
BAJAJ-AUTO,0,0,"[('2019-01-14', 'BOUGHT for', 2699.15, 2699.15, 1), ('2019-01-14', 'BUYING CHANCE! for', 2699.15, 2699.15, 1), ('2019-01-30', 'SOLD for', 2499.7, 2699.15, 'PNL: ', -7.39), ('2019-02-04', 'BUYING CHANCE! for', 2642.5, 0, 0), ('2019-04-10', 'BUYING CHANCE! for', 2942.9, 0, 0), ('2019-05-21', 'BUYING CHANCE! for', 2979.3, 0, 0), ('2019-06-06', 'BUYING CHANCE! for', 2991.65, 0, 0), ('2019-07-02', 'BUYING CHANCE! for', 2883.55, 0, 0), ('2019-08-05', 'BUYING CHANCE! for', 2619.75, 0, 0), ('2019-09-23', 'BUYING CHANCE! for', 2995.15, 0, 0), ('2019-12-26', 'BUYING CHANCE! for', 3230.05, 0, 0), ('2020-01-15', 'BUYING CHANCE! for', 3123.55, 0, 0), ('2020-06-22', 'BUYING CHANCE! for', 2855.75, 0, 0), ('2020-08-12', 'BUYING CHANCE! for', 3023.0, 0, 0), ('2020-10-06', 'BUYING CHANCE! for', 2972.25, 0, 0), ('2020-11-06', 'BUYING CHANCE! for', 2977.4, 0, 0), ('2021-04-01', 'BUYING CHANCE! for', 3743.05, 0, 0), ('2021-06-22', 'BUYING CHANCE! for', 4221.6, 0, 0), ('2021-08-16', 'BUYING CHANCE! for', 3748.45, 0, 0), ('2021-09-01', 'BUYING CHANCE! for', 3758.3, 0, 0), ('2021-09-02', 'BUYING CHANCE! for', 3720.95, 0, 0), ('2021-09-15', 'BUYING CHANCE! for', 3779.1, 0, 0), ('2021-11-09', 'BUYING CHANCE! for', 3794.45, 0, 0), ('2021-11-10', 'BUYING CHANCE! for', 3771.7, 0, 0)]",False
BAJFINANCE,0,0,"[('2019-01-16', 'BUYING CHANCE! for', 2569.85, 0, 0), ('2019-02-21', 'BUYING CHANCE! for', 2654.7, 0, 0), ('2019-04-24', 'BUYING CHANCE! for', 3093.05, 0, 0), ('2019-05-16', 'BUYING CHANCE! for', 3110.05, 0, 0), ('2019-07-30', 'BUYING CHANCE! for', 3249.95, 0, 0), ('2019-12-12', 'BUYING CHANCE! for', 4057.15, 0, 0), ('2020-01-10', 'BUYING CHANCE! for', 4144.85, 0, 0), ('2020-09-29', 'BOUGHT for', 3294.75, 3294.75, 1), ('2020-10-23', 'BOUGHT for', 3316.9, 3305.825, 2), ('2020-10-23', 'BUYING CHANCE! for', 3316.9, 3305.825, 2), ('2020-12-10', 'SOLD for', 4794.8, 3305.825, 'PNL: ', 45.04095044353529), ('2021-01-21', 'BUYING CHANCE! for', 5118.3, 0, 0), ('2021-02-02', 'BUYING CHANCE! for', 5173.2, 0, 0), ('2021-03-04', 'BUYING CHANCE! for', 5485.9, 0, 0), ('2021-03-05', 'BUYING CHANCE! for', 5444.9, 0, 0), ('2021-03-10', 'BUYING CHANCE! for', 5545.05, 0, 0), ('2021-04-27', 'BUYING CHANCE! for', 4865.05, 0, 0), ('2021-07-06', 'BUYING CHANCE! for', 6202.4, 0, 0), ('2021-07-23', 'BUYING CHANCE! for', 6180.9, 0, 0), ('2021-08-16', 'BUYING CHANCE! for', 6377.15, 0, 0), ('2021-10-04', 'BUYING CHANCE! for', 7695.05, 0, 0), ('2021-11-08', 'BUYING CHANCE! for', 7673.65, 0, 0), ('2021-12-03', 'BUYING CHANCE! for', 7069.25, 0, 0), ('2021-12-08', 'BUYING CHANCE! for', 7361.5, 0, 0), ('2021-12-27', 'BUYING CHANCE! for', 6890.75, 0, 0)]",False
BAJAJFINSV,0,0,"[('2019-01-22', 'BUYING CHANCE! for', 6435.55, 0, 0), ('2019-01-31', 'BUYING CHANCE! for', 6091.9, 0, 0), ('2019-02-08', 'BUYING CHANCE! for', 6182.7, 0, 0), ('2019-02-21', 'BUYING CHANCE! for', 6169.1, 0, 0), ('2019-05-16', 'BUYING CHANCE! for', 7617.45, 0, 0), ('2019-08-08', 'BUYING CHANCE! for', 7290.45, 0, 0), ('2019-08-27', 'BUYING CHANCE! for', 7126.5, 0, 0), ('2019-10-31', 'BUYING CHANCE! for', 8134.35, 0, 0), ('2019-12-12', 'BUYING CHANCE! for', 9169.25, 0, 0), ('2020-01-09', 'BUYING CHANCE! for', 9395.25, 0, 0), ('2020-01-10', 'BUYING CHANCE! for', 9372.25, 0, 0), ('2020-02-05', 'BUYING CHANCE! for', 9591.4, 0, 0), ('2020-09-29', 'BUYING CHANCE! for', 5876.7, 0, 0), ('2021-01-20', 'BUYING CHANCE! for', 8938.25, 0, 0), ('2021-03-03', 'BUYING CHANCE! for', 10395.6, 0, 0), ('2021-03-04', 'BUYING CHANCE! for', 10129.95, 0, 0), ('2021-03-12', 'BUYING CHANCE! for', 9934.1, 0, 0), ('2021-03-31', 'BUYING CHANCE! for', 9668.6, 0, 0), ('2021-07-07', 'BUYING CHANCE! for', 12374.15, 0, 0), ('2021-11-09', 'BUYING CHANCE! for', 18172.5, 0, 0), ('2021-12-01', 'BUYING CHANCE! for', 17382.95, 0, 0), ('2021-12-02', 'BUYING CHANCE! for', 17758.15, 0, 0)]",False
BPCL,1,380.4,"[('2019-01-17', 'BOUGHT for', 355.2, 355.2, 1), ('2019-02-14', 'SOLD for', 315.65, 355.2, 'PNL: ', -11.13), ('2019-02-19', 'BOUGHT for', 335.25, 335.25, 1), ('2019-02-19', 'BUYING CHANCE! for', 335.25, 335.25, 1), ('2019-03-25', 'SOLD for', 383.7, 335.25, 'PNL: ', 14.451901565995524), ('2019-04-26', 'BUYING CHANCE! for', 371.05, 0, 0), ('2019-06-26', 'BUYING CHANCE! for', 391.4, 0, 0), ('2019-08-02', 'BOUGHT for', 342.45, 342.45, 1), ('2019-08-02', 'BUYING CHANCE! for', 342.45, 342.45, 1), ('2019-08-07', 'SOLD for', 331.1, 342.45, 'PNL: ', -3.31), ('2019-08-27', 'BUYING CHANCE! for', 342.3, 0, 0), ('2019-11-14', 'BUYING CHANCE! for', 514.65, 0, 0), ('2019-11-18', 'BUYING CHANCE! for', 521.75, 0, 0), ('2019-12-16', 'BOUGHT for', 492.0, 492.0, 1), ('2019-12-16', 'BUYING CHANCE! for', 492.0, 492.0, 1), ('2019-12-17', 'BUYING CHANCE! for', 496.05, 492.0, 1), ('2019-12-30', 'BUYING CHANCE! for', 493.05, 492.0, 1), ('2020-01-13', 'BUYING CHANCE! for', 470.75, 492.0, 1), ('2020-01-24', 'BUYING CHANCE! for', 466.1, 492.0, 1), ('2020-02-04', 'BUYING CHANCE! for', 478.5, 492.0, 1), ('2020-02-28', 'SOLD for', 426.35, 492.0, 'PNL: ', -13.34), ('2020-08-21', 'BOUGHT for', 410.1, 410.1, 1), ('2020-08-21', 'BUYING CHANCE! for', 410.1, 410.1, 1), ('2020-08-24', 'BUYING CHANCE! for', 409.75, 410.1, 1), ('2020-08-28', 'BUYING CHANCE! for', 415.05, 410.1, 1), ('2020-09-24', 'SOLD for', 377.25, 410.1, 'PNL: ', -8.01), ('2020-10-22', 'BOUGHT for', 349.35, 349.35, 1), ('2020-10-26', 'SOLD for', 346.1, 349.35, 'PNL: ', -0.93), ('2020-12-04', 'BOUGHT for', 392.3, 392.3, 1), ('2020-12-28', 'BOUGHT for', 382.75, 387.525, 2), ('2020-12-29', 'BOUGHT for', 381.5, 385.51666666666665, 3), ('2021-02-03', 'BUYING CHANCE! for', 414.9, 385.51666666666665, 3), ('2021-03-09', 'SOLD for', 445.9, 385.51666666666665, 'PNL: ', 15.662963123081576), ('2021-04-08', 'BUYING CHANCE! for', 430.55, 0, 0), ('2021-04-09', 'BUYING CHANCE! for', 425.6, 0, 0), ('2021-04-23', 'BUYING CHANCE! for', 423.05, 0, 0), ('2021-07-22', 'BUYING CHANCE! for', 460.9, 0, 0), ('2021-08-03', 'BUYING CHANCE! for', 463.4, 0, 0), ('2021-08-13', 'BOUGHT for', 454.9, 454.9, 1), ('2021-08-13', 'BUYING CHANCE! for', 454.9, 454.9, 1), ('2021-09-20', 'SOLD for', 420.4, 454.9, 'PNL: ', -7.58), ('2021-10-05', 'BOUGHT for', 443.85, 443.85, 1), ('2021-11-10', 'BUYING CHANCE! for', 431.25, 443.85, 1), ('2021-11-15', 'BUYING CHANCE! for', 426.35, 443.85, 1), ('2021-11-18', 'SOLD for', 405.3, 443.85, 'PNL: ', -8.69), ('2021-12-28', 'BOUGHT for', 380.4, 380.4, 1), ('2021-12-28', 'BUYING CHANCE! for', 380.4, 380.4, 1)]",False
BHARTIARTL,1,708.45,"[('2019-05-14', 'BOUGHT for', 336.6, 336.6, 1), ('2019-05-14', 'BUYING CHANCE! for', 336.6, 336.6, 1), ('2019-05-15', 'BUYING CHANCE! for', 331.25, 336.6, 1), ('2019-06-27', 'BUYING CHANCE! for', 348.65, 336.6, 1), ('2019-08-05', 'BOUGHT for', 357.7, 347.15, 2), ('2019-08-05', 'BUYING CHANCE! for', 357.7, 347.15, 2), ('2019-09-09', 'BUYING CHANCE! for', 356.45, 347.15, 2), ('2019-09-23', 'BUYING CHANCE! for', 348.0, 347.15, 2), ('2019-10-10', 'BOUGHT for', 377.25, 357.18333333333334, 3), ('2019-12-06', 'SOLD for', 444.85, 357.18333333333334, 'PNL: ', 24.543885026363682), ('2019-12-20', 'BUYING CHANCE! for', 453.8, 0, 0), ('2020-03-26', 'BOUGHT for', 470.7, 470.7, 1), ('2020-03-30', 'SOLD for', 431.05, 470.7, 'PNL: ', -8.42), ('2020-06-05', 'BOUGHT for', 584.35, 584.35, 1), ('2020-06-05', 'BUYING CHANCE! for', 584.35, 584.35, 1), ('2020-06-19', 'BUYING CHANCE! for', 572.5, 584.35, 1), ('2020-07-22', 'BUYING CHANCE! for', 569.15, 584.35, 1), ('2020-09-02', 'BOUGHT for', 550.55, 567.45, 2), ('2020-09-08', 'SOLD for', 498.1, 567.45, 'PNL: ', -12.22), ('2020-12-02', 'BOUGHT for', 484.9, 484.9, 1), ('2020-12-02', 'BUYING CHANCE! for', 484.9, 484.9, 1), ('2021-01-25', 'SOLD for', 580.75, 484.9, 'PNL: ', 19.766962260259852), ('2021-03-30', 'BUYING CHANCE! for', 521.5, 0, 0), ('2021-06-07', 'BOUGHT for', 536.45, 536.45, 1), ('2021-06-07', 'BUYING CHANCE! for', 536.45, 536.45, 1), ('2021-07-12', 'BUYING CHANCE! for', 529.65, 536.45, 1), ('2021-08-24', 'SOLD for', 620.1, 536.45, 'PNL: ', 15.59325193401062), ('2021-08-31', 'BUYING CHANCE! for', 664.05, 0, 0), ('2021-10-20', 'BOUGHT for', 708.45, 708.45, 1), ('2021-10-20', 'BUYING CHANCE! for', 708.45, 708.45, 1), ('2021-12-24', 'BUYING CHANCE! for', 677.05, 708.45, 1)]",False
BRITANNIA,0,0,"[('2019-11-15', 'BUYING CHANCE! for', 3195.55, 0, 0), ('2019-12-09', 'BUYING CHANCE! for', 3058.4, 0, 0), ('2019-12-10', 'BUYING CHANCE! for', 3059.35, 0, 0), ('2020-01-14', 'BUYING CHANCE! for', 3105.15, 0, 0), ('2020-03-05', 'BUYING CHANCE! for', 3127.15, 0, 0), ('2020-06-23', 'BUYING CHANCE! for', 3467.05, 0, 0), ('2020-08-07', 'BUYING CHANCE! for', 3934.8, 0, 0), ('2020-08-18', 'BUYING CHANCE! for', 3914.3, 0, 0), ('2020-09-29', 'BOUGHT for', 3736.85, 3736.85, 1), ('2020-09-29', 'BUYING CHANCE! for', 3736.85, 3736.85, 1), ('2020-10-21', 'SOLD for', 3397.25, 3736.85, 'PNL: ', -9.09), ('2020-11-09', 'BUYING CHANCE! for', 3548.3, 0, 0), ('2021-01-12', 'BUYING CHANCE! for', 3631.65, 0, 0), ('2021-03-02', 'BUYING CHANCE! for', 3447.95, 0, 0), ('2021-06-02', 'BUYING CHANCE! for', 3475.25, 0, 0), ('2021-11-10', 'BUYING CHANCE! for', 3698.5, 0, 0), ('2021-11-11', 'BUYING CHANCE! for', 3643.4, 0, 0), ('2021-12-09', 'BUYING CHANCE! for', 3623.9, 0, 0), ('2021-12-24', 'BUYING CHANCE! for', 3541.3, 0, 0)]",False
CIPLA,3,901.3166666666666,"[('2019-04-08', 'BUYING CHANCE! for', 525.4, 0, 0), ('2019-06-13', 'BOUGHT for', 564.6, 564.6, 1), ('2019-06-13', 'BUYING CHANCE! for', 564.6, 564.6, 1), ('2019-06-24', 'BUYING CHANCE! for', 549.9, 564.6, 1), ('2019-08-06', 'SOLD for', 500.15, 564.6, 'PNL: ', -11.42), ('2019-09-04', 'BUYING CHANCE! for', 471.4, 0, 0), ('2020-01-13', 'BUYING CHANCE! for', 477.65, 0, 0), ('2020-03-04', 'BOUGHT for', 447.65, 447.65, 1), ('2020-03-12', 'SOLD for', 394.75, 447.65, 'PNL: ', -11.82), ('2020-07-15', 'BUYING CHANCE! for', 638.2, 0, 0), ('2020-09-03', 'BOUGHT for', 738.6, 738.6, 1), ('2020-11-04', 'BOUGHT for', 781.15, 759.875, 2), ('2020-11-27', 'BUYING CHANCE! for', 745.6, 759.875, 2), ('2021-01-27', 'BOUGHT for', 842.5, 787.4166666666666, 3), ('2021-03-24', 'BOUGHT for', 792.95, 788.8, 4), ('2021-03-24', 'BUYING CHANCE! for', 792.95, 788.8, 4), ('2021-04-27', 'SOLD for', 912.4, 788.8, 'PNL: ', 15.669371196754566), ('2021-07-14', 'BUYING CHANCE! for', 977.15, 0, 0), ('2021-08-03', 'BUYING CHANCE! for', 928.15, 0, 0), ('2021-08-26', 'BUYING CHANCE! for', 911.3, 0, 0), ('2021-10-27', 'BOUGHT for', 922.5, 922.5, 1), ('2021-10-28', 'BOUGHT for', 891.75, 907.125, 2), ('2021-11-26', 'BUYING CHANCE! for', 966.7, 907.125, 2), ('2021-12-22', 'BOUGHT for', 889.7, 901.3166666666666, 3), ('2021-12-22', 'BUYING CHANCE! for', 889.7, 901.3166666666666, 3)]",False
COALINDIA,1,145.9,"[('2019-04-10', 'BUYING CHANCE! for', 240.05, 0, 0), ('2019-05-23', 'BUYING CHANCE! for', 244.15, 0, 0), ('2019-06-27', 'BUYING CHANCE! for', 259.4, 0, 0), ('2020-12-28', 'BOUGHT for', 137.65, 137.65, 1), ('2021-01-04', 'BOUGHT for', 137.25, 137.45, 2), ('2021-01-07', 'BUYING CHANCE! for', 136.5, 137.45, 2), ('2021-02-04', 'BUYING CHANCE! for', 143.6, 137.45, 2), ('2021-03-25', 'SOLD for', 128.1, 137.45, 'PNL: ', -6.8), ('2021-04-28', 'BOUGHT for', 128.5, 128.5, 1), ('2021-04-29', 'BOUGHT for', 128.05, 128.275, 2), ('2021-05-17', 'SOLD for', 148.15, 128.275, 'PNL: ', 15.494055739621905), ('2021-06-03', 'BOUGHT for', 149.05, 149.05, 1), ('2021-06-03', 'BUYING CHANCE! for', 149.05, 149.05, 1), ('2021-08-04', 'BUYING CHANCE! for', 144.7, 149.05, 1), ('2021-08-13', 'BOUGHT for', 143.75, 146.4, 2), ('2021-08-30', 'BOUGHT for', 143.6, 145.46666666666667, 3), ('2021-08-30', 'BUYING CHANCE! for', 143.6, 145.46666666666667, 3), ('2021-10-14', 'SOLD for', 183.8, 145.46666666666667, 'PNL: ', 26.351970669110916), ('2021-12-03', 'BUYING CHANCE! for', 159.75, 0, 0), ('2021-12-24', 'BOUGHT for', 145.9, 145.9, 1)]",False
