,quantity,average_trading_price,PNL,Profit_fulfillment_bool_trigger
DIVISLAB,0,0,"[('2019-01-08', 'BOUGHT for', 1458.85, 1458.85, 1), ('2019-02-27', 'BUYING CHANCE! for', 1638.45, 1458.85, 1), ('2019-03-11', 'SOLD for', 1690.65, 1458.85, 'PNL: ', 15.889227816430763), ('2019-04-01', 'BOUGHT for', 1723.3, 1723.3, 1), ('2019-04-01', 'BUYING CHANCE! for', 1723.3, 1723.3, 1), ('2019-04-02', 'BUYING CHANCE! for', 1699.05, 1723.3, 1), ('2019-06-20', 'BUYING CHANCE! for', 1603.0, 1723.3, 1), ('2019-08-23', 'BUYING CHANCE! for', 1571.6, 1723.3, 1), ('2020-02-05', 'SOLD for', 1962.65, 1723.3, 'PNL: ', 13.889050078338082), ('2020-03-04', 'BOUGHT for', 2174.8, 2174.8, 1), ('2020-03-18', 'SOLD for', 1805.25, 2174.8, 'PNL: ', -16.99), ('2020-03-20', 'BOUGHT for', 1994.9, 1994.9, 1), ('2020-03-23', 'SOLD for', 1851.75, 1994.9, 'PNL: ', -7.18), ('2020-05-12', 'BOUGHT for', 2363.55, 2363.55, 1), ('2020-05-13', 'BOUGHT for', 2339.5, 2351.525, 2), ('2020-05-29', 'BOUGHT for', 2390.1, 2364.383333333333, 3), ('2020-05-29', 'BUYING CHANCE! for', 2390.1, 2364.383333333333, 3), ('2020-07-14', 'BUYING CHANCE! for', 2218.15, 2364.383333333333, 3), ('2020-08-31', 'SOLD for', 3122.8, 2364.383333333333, 'PNL: ', 32.07672190775609), ('2020-09-16', 'BUYING CHANCE! for', 3244.35, 0, 0), ('2020-10-07', 'BUYING CHANCE! for', 3181.9, 0, 0), ('2020-10-29', 'BUYING CHANCE! for', 3107.6, 0, 0), ('2020-11-04', 'BUYING CHANCE! for', 3196.2, 0, 0), ('2021-02-03', 'BUYING CHANCE! for', 3680.25, 0, 0), ('2021-03-03', 'BUYING CHANCE! for', 3565.15, 0, 0), ('2021-06-28', 'BUYING CHANCE! for', 4314.4, 0, 0), ('2021-10-04', 'BUYING CHANCE! for', 5220.7, 0, 0), ('2021-10-28', 'BUYING CHANCE! for', 5121.15, 0, 0), ('2021-11-29', 'BUYING CHANCE! for', 4921.35, 0, 0), ('2021-12-28', 'BUYING CHANCE! for', 4525.35, 0, 0), ('2022-01-14', 'BUYING CHANCE! for', 4616.6, 0, 0)]",False
DRREDDY,1,4620.9,"[('2019-01-10', 'BOUGHT for', 2600.4, 2600.4, 1), ('2019-02-15', 'BUYING CHANCE! for', 2563.35, 2600.4, 1), ('2019-06-03', 'BUYING CHANCE! for', 2724.1, 2600.4, 1), ('2019-06-27', 'BUYING CHANCE! for', 2565.6, 2600.4, 1), ('2019-08-19', 'BUYING CHANCE! for', 2509.1, 2600.4, 1), ('2019-10-16', 'BUYING CHANCE! for', 2701.45, 2600.4, 1), ('2019-11-21', 'BUYING CHANCE! for', 2879.25, 2600.4, 1), ('2019-12-03', 'SOLD for', 2858.35, 2600.4, 'PNL: ', 9.91962774957698), ('2019-12-19', 'BUYING CHANCE! for', 2869.55, 0, 0), ('2020-03-05', 'BUYING CHANCE! for', 3184.45, 0, 0), ('2020-03-24', 'BOUGHT for', 2857.95, 2857.95, 1), ('2020-05-04', 'SOLD for', 3939.0, 2857.95, 'PNL: ', 37.826064136881335), ('2020-07-14', 'BUYING CHANCE! for', 3983.15, 0, 0), ('2020-09-03', 'BOUGHT for', 4433.15, 4433.15, 1), ('2020-09-03', 'BUYING CHANCE! for', 4433.15, 4433.15, 1), ('2020-09-04', 'BUYING CHANCE! for', 4322.5, 4433.15, 1), ('2020-09-23', 'SOLD for', 5107.75, 4433.15, 'PNL: ', 15.217170634875886), ('2020-10-27', 'BUYING CHANCE! for', 5099.4, 0, 0), ('2020-11-24', 'BUYING CHANCE! for', 4915.5, 0, 0), ('2021-02-08', 'BUYING CHANCE! for', 4859.8, 0, 0), ('2021-03-23', 'BUYING CHANCE! for', 4372.25, 0, 0), ('2021-06-23', 'BOUGHT for', 5299.35, 5299.35, 1), ('2021-06-23', 'BUYING CHANCE! for', 5299.35, 5299.35, 1), ('2021-07-27', 'SOLD for', 4843.35, 5299.35, 'PNL: ', -8.6), ('2021-08-31', 'BUYING CHANCE! for', 4704.05, 0, 0), ('2021-09-30', 'BUYING CHANCE! for', 4880.7, 0, 0), ('2021-11-02', 'BUYING CHANCE! for', 4746.1, 0, 0), ('2021-11-30', 'BUYING CHANCE! for', 4675.85, 0, 0), ('2021-12-21', 'BOUGHT for', 4620.9, 4620.9, 1), ('2021-12-21', 'BUYING CHANCE! for', 4620.9, 4620.9, 1)]",False
EICHERMOT,0,0,"[('2019-12-13', 'BUYING CHANCE! for', 22034.75, 0, 0), ('2019-12-16', 'BUYING CHANCE! for', 21651.0, 0, 0), ('2020-01-17', 'BUYING CHANCE! for', 21292.2, 0, 0), ('2020-07-20', 'BUYING CHANCE! for', 19187.65, 0, 0)]",False
GRASIM,0,0,"[('2019-05-21', 'BUYING CHANCE! for', 865.6, 0, 0), ('2019-06-14', 'BUYING CHANCE! for', 899.0, 0, 0), ('2020-01-03', 'BUYING CHANCE! for', 756.65, 0, 0), ('2020-01-10', 'BUYING CHANCE! for', 756.25, 0, 0), ('2020-12-28', 'BOUGHT for', 906.65, 906.65, 1), ('2021-01-22', 'SOLD for', 1004.0, 906.65, 'PNL: ', 10.737329730325927), ('2021-04-30', 'BUYING CHANCE! for', 1401.75, 0, 0), ('2021-05-27', 'BUYING CHANCE! for', 1417.15, 0, 0), ('2021-08-31', 'BUYING CHANCE! for', 1500.4, 0, 0), ('2021-12-10', 'BUYING CHANCE! for', 1749.2, 0, 0), ('2022-01-04', 'BUYING CHANCE! for', 1692.0, 0, 0)]",False
HCLTECH,0,0,"[('2019-01-15', 'BOUGHT for', 947.7, 947.7, 1), ('2019-03-22', 'BUYING CHANCE! for', 1024.85, 947.7, 1), ('2019-04-08', 'SOLD for', 1096.35, 947.7, 'PNL: ', 15.685343463121225), ('2019-05-30', 'BUYING CHANCE! for', 1078.2, 0, 0), ('2019-07-31', 'BUYING CHANCE! for', 1034.55, 0, 0), ('2019-09-30', 'BUYING CHANCE! for', 1080.6, 0, 0), ('2019-11-29', 'BUYING CHANCE! for', 1127.65, 0, 0), ('2020-09-04', 'BOUGHT for', 700.8, 700.8, 1), ('2020-10-05', 'SOLD for', 824.2, 700.8, 'PNL: ', 17.60844748858449), ('2020-11-09', 'BUYING CHANCE! for', 855.0, 0, 0), ('2020-11-24', 'BUYING CHANCE! for', 840.5, 0, 0), ('2021-02-05', 'BUYING CHANCE! for', 946.15, 0, 0), ('2021-03-03', 'BUYING CHANCE! for', 965.25, 0, 0), ('2021-03-30', 'BUYING CHANCE! for', 995.8, 0, 0), ('2021-07-15', 'BUYING CHANCE! for', 1039.75, 0, 0), ('2021-07-30', 'BOUGHT for', 1024.95, 1024.95, 1), ('2021-07-30', 'BUYING CHANCE! for', 1024.95, 1024.95, 1), ('2021-09-28', 'SOLD for', 1269.0, 1024.95, 'PNL: ', 23.81091760573686), ('2021-11-15', 'BUYING CHANCE! for', 1170.85, 0, 0)]",False
HDFCBANK,0,0,"[('2019-02-04', 'BUYING CHANCE! for', 2104.9, 0, 0), ('2019-02-26', 'BUYING CHANCE! for', 2110.65, 0, 0), ('2019-03-07', 'BUYING CHANCE! for', 2126.5, 0, 0), ('2019-04-16', 'BUYING CHANCE! for', 2305.05, 0, 0), ('2019-04-26', 'BUYING CHANCE! for', 2280.95, 0, 0), ('2019-06-26', 'BUYING CHANCE! for', 2467.9, 0, 0), ('2019-08-09', 'BUYING CHANCE! for', 2282.0, 0, 0), ('2019-08-13', 'BUYING CHANCE! for', 2220.35, 0, 0), ('2019-08-27', 'BUYING CHANCE! for', 2259.95, 0, 0), ('2020-12-17', 'BOUGHT for', 1441.8, 1441.8, 1), ('2020-12-28', 'BUYING CHANCE! for', 1412.85, 1441.8, 1), ('2021-02-01', 'BOUGHT for', 1476.75, 1459.275, 2), ('2021-02-01', 'BUYING CHANCE! for', 1476.75, 1459.275, 2), ('2021-02-25', 'BOUGHT for', 1606.4, 1508.3166666666668, 3), ('2021-03-03', 'BUYING CHANCE! for', 1586.85, 1508.3166666666668, 3), ('2021-03-04', 'BUYING CHANCE! for', 1552.05, 1508.3166666666668, 3), ('2021-03-31', 'BUYING CHANCE! for', 1493.65, 1508.3166666666668, 3), ('2021-04-01', 'BUYING CHANCE! for', 1486.75, 1508.3166666666668, 3), ('2021-04-12', 'SOLD for', 1367.05, 1508.3166666666668, 'PNL: ', -9.37), ('2021-05-18', 'BUYING CHANCE! for', 1476.7, 0, 0), ('2021-06-22', 'BOUGHT for', 1483.8, 1483.8, 1), ('2021-06-22', 'BUYING CHANCE! for', 1483.8, 1483.8, 1), ('2021-06-23', 'BUYING CHANCE! for', 1485.5, 1483.8, 1), ('2021-07-15', 'BUYING CHANCE! for', 1520.7, 1483.8, 1), ('2021-08-05', 'BUYING CHANCE! for', 1484.85, 1483.8, 1), ('2021-09-17', 'BUYING CHANCE! for', 1582.15, 1483.8, 1), ('2021-09-20', 'BOUGHT for', 1559.85, 1521.8249999999998, 2), ('2021-09-20', 'BUYING CHANCE! for', 1559.85, 1521.8249999999998, 2), ('2021-09-24', 'BOUGHT for', 1601.55, 1548.3999999999999, 3), ('2021-09-24', 'BUYING CHANCE! for', 1601.55, 1548.3999999999999, 3), ('2021-12-02', 'BUYING CHANCE! for', 1525.75, 1548.3999999999999, 3), ('2021-12-20', 'SOLD for', 1425.65, 1548.3999999999999, 'PNL: ', -7.93), ('2021-12-31', 'BUYING CHANCE! for', 1479.4, 0, 0)]",False
HDFCLIFE,0,0,"[('2019-05-21', 'BUYING CHANCE! for', 403.2, 0, 0), ('2019-06-27', 'BUYING CHANCE! for', 455.15, 0, 0), ('2019-08-07', 'BUYING CHANCE! for', 518.1, 0, 0), ('2019-09-12', 'BUYING CHANCE! for', 537.85, 0, 0), ('2019-09-20', 'BUYING CHANCE! for', 563.85, 0, 0), ('2019-11-25', 'BUYING CHANCE! for', 597.8, 0, 0), ('2019-12-16', 'BUYING CHANCE! for', 592.1, 0, 0), ('2020-02-05', 'BOUGHT for', 583.45, 583.45, 1), ('2020-02-28', 'SOLD for', 544.1, 583.45, 'PNL: ', -6.74), ('2020-03-04', 'BOUGHT for', 568.6, 568.6, 1), ('2020-03-09', 'SOLD for', 517.65, 568.6, 'PNL: ', -8.96), ('2020-05-26', 'BOUGHT for', 507.45, 507.45, 1), ('2020-06-18', 'BUYING CHANCE! for', 515.95, 507.45, 1), ('2020-08-03', 'SOLD for', 603.0, 507.45, 'PNL: ', 18.829441324268405), ('2020-08-25', 'BUYING CHANCE! for', 599.8, 0, 0), ('2020-10-07', 'BUYING CHANCE! for', 578.95, 0, 0), ('2020-10-27', 'BOUGHT for', 587.3, 587.3, 1), ('2020-11-27', 'SOLD for', 646.8, 587.3, 'PNL: ', 10.131108462455305), ('2020-12-09', 'BOUGHT for', 652.6, 652.6, 1), ('2021-02-03', 'BUYING CHANCE! for', 689.2, 652.6, 1), ('2021-04-23', 'BUYING CHANCE! for', 686.35, 652.6, 1), ('2021-07-16', 'BUYING CHANCE! for', 698.0, 652.6, 1), ('2021-09-07', 'SOLD for', 734.25, 652.6, 'PNL: ', 12.51149249157217), ('2021-11-03', 'BOUGHT for', 692.3, 692.3, 1), ('2021-12-01', 'BOUGHT for', 693.85, 693.075, 2), ('2021-12-20', 'SOLD for', 633.6, 693.075, 'PNL: ', -8.58), ('2022-01-04', 'BUYING CHANCE! for', 653.15, 0, 0)]",False
HEROMOTOCO,0,0,"[('2019-09-06', 'BUYING CHANCE! for', 2659.95, 0, 0), ('2019-09-23', 'BUYING CHANCE! for', 2820.35, 0, 0), ('2019-10-22', 'BUYING CHANCE! for', 2674.65, 0, 0), ('2019-12-20', 'BUYING CHANCE! for', 2393.2, 0, 0), ('2020-01-14', 'BUYING CHANCE! for', 2411.4, 0, 0), ('2020-08-12', 'BUYING CHANCE! for', 2774.0, 0, 0), ('2020-09-14', 'BUYING CHANCE! for', 3028.5, 0, 0), ('2020-11-11', 'BUYING CHANCE! for', 3060.15, 0, 0), ('2020-12-24', 'BOUGHT for', 3073.1, 3073.1, 1), ('2021-02-19', 'SOLD for', 3389.7, 3073.1, 'PNL: ', 10.302300608506068), ('2021-03-03', 'BUYING CHANCE! for', 3424.35, 0, 0), ('2021-04-26', 'BUYING CHANCE! for', 2864.55, 0, 0), ('2021-05-07', 'BUYING CHANCE! for', 2860.8, 0, 0), ('2021-05-19', 'BUYING CHANCE! for', 2915.0, 0, 0), ('2021-07-05', 'BUYING CHANCE! for', 2938.05, 0, 0), ('2021-08-05', 'BUYING CHANCE! for', 2818.8, 0, 0), ('2021-09-01', 'BUYING CHANCE! for', 2740.85, 0, 0), ('2021-10-11', 'BUYING CHANCE! for', 2857.8, 0, 0), ('2021-12-13', 'BUYING CHANCE! for', 2495.0, 0, 0), ('2021-12-15', 'BUYING CHANCE! for', 2507.15, 0, 0)]",False
HINDALCO,0,0,"[('2019-01-31', 'BOUGHT for', 208.5, 208.5, 1), ('2019-02-14', 'SOLD for', 191.75, 208.5, 'PNL: ', -8.03), ('2019-02-22', 'BUYING CHANCE! for', 196.45, 0, 0), ('2019-02-25', 'BUYING CHANCE! for', 196.5, 0, 0), ('2019-05-03', 'BUYING CHANCE! for', 205.1, 0, 0), ('2019-05-21', 'BUYING CHANCE! for', 196.0, 0, 0), ('2019-06-24', 'BUYING CHANCE! for', 198.2, 0, 0), ('2019-08-23', 'BOUGHT for', 180.25, 180.25, 1), ('2019-10-16', 'BOUGHT for', 187.95, 184.1, 2), ('2019-11-26', 'BUYING CHANCE! for', 198.7, 184.1, 2), ('2020-01-06', 'SOLD for', 209.3, 184.1, 'PNL: ', 13.688212927756664), ('2020-01-14', 'BUYING CHANCE! for', 211.95, 0, 0), ('2020-02-06', 'BOUGHT for', 194.0, 194.0, 1), ('2020-02-06', 'BUYING CHANCE! for', 194.0, 194.0, 1), ('2020-02-18', 'SOLD for', 184.35, 194.0, 'PNL: ', -4.97), ('2020-09-29', 'BUYING CHANCE! for', 176.4, 0, 0), ('2020-11-04', 'BOUGHT for', 176.5, 176.5, 1), ('2020-12-11', 'SOLD for', 243.65, 176.5, 'PNL: ', 38.04532577903683), ('2021-01-01', 'BOUGHT for', 238.35, 238.35, 1), ('2021-02-03', 'BUYING CHANCE! for', 257.25, 238.35, 1), ('2021-03-08', 'SOLD for', 336.6, 238.35, 'PNL: ', 41.22089364380115), ('2021-03-30', 'BUYING CHANCE! for', 326.3, 0, 0), ('2021-06-01', 'BOUGHT for', 394.7, 394.7, 1), ('2021-06-14', 'BOUGHT for', 394.8, 394.75, 2), ('2021-06-28', 'BUYING CHANCE! for', 382.3, 394.75, 2), ('2021-06-29', 'BUYING CHANCE! for', 374.25, 394.75, 2), ('2021-08-04', 'SOLD for', 442.7, 394.75, 'PNL: ', 12.146928435718808), ('2021-08-26', 'BOUGHT for', 424.1, 424.1, 1), ('2021-08-26', 'BUYING CHANCE! for', 424.1, 424.1, 1), ('2021-09-20', 'SOLD for', 444.4, 424.1, 'PNL: ', 4.78660693232727), ('2021-09-23', 'BOUGHT for', 483.25, 483.25, 1), ('2021-11-26', 'SOLD for', 417.0, 483.25, 'PNL: ', -13.71), ('2021-12-07', 'BUYING CHANCE! for', 442.5, 0, 0)]",False
HINDUNILVR,0,0,"[('2019-01-24', 'BUYING CHANCE! for', 1759.5, 0, 0), ('2019-02-01', 'BOUGHT for', 1799.3, 1799.3, 1), ('2019-02-01', 'BUYING CHANCE! for', 1799.3, 1799.3, 1), ('2019-03-13', 'BUYING CHANCE! for', 1747.6, 1799.3, 1), ('2019-03-14', 'BUYING CHANCE! for', 1737.3, 1799.3, 1), ('2019-04-10', 'BUYING CHANCE! for', 1694.15, 1799.3, 1), ('2019-05-17', 'BUYING CHANCE! for', 1736.8, 1799.3, 1), ('2019-07-04', 'BUYING CHANCE! for', 1793.6, 1799.3, 1), ('2019-07-25', 'BUYING CHANCE! for', 1736.65, 1799.3, 1), ('2019-09-20', 'BUYING CHANCE! for', 1969.75, 1799.3, 1), ('2019-10-01', 'SOLD for', 1990.3, 1799.3, 'PNL: ', 10.61523925971211), ('2019-11-28', 'BUYING CHANCE! for', 2087.15, 0, 0), ('2020-01-10', 'BUYING CHANCE! for', 1954.0, 0, 0), ('2020-03-24', 'BOUGHT for', 2027.85, 2027.85, 1), ('2020-05-05', 'SOLD for', 2041.5, 2027.85, 'PNL: ', 0.67), ('2020-08-19', 'BUYING CHANCE! for', 2193.6, 0, 0), ('2020-11-09', 'BUYING CHANCE! for', 2132.55, 0, 0), ('2020-11-10', 'BUYING CHANCE! for', 2136.6, 0, 0), ('2020-12-04', 'BUYING CHANCE! for', 2184.2, 0, 0), ('2021-01-22', 'BUYING CHANCE! for', 2409.35, 0, 0), ('2021-03-04', 'BUYING CHANCE! for', 2196.9, 0, 0), ('2021-04-28', 'BUYING CHANCE! for', 2406.55, 0, 0), ('2021-04-29', 'BUYING CHANCE! for', 2407.6, 0, 0), ('2021-06-03', 'BUYING CHANCE! for', 2363.25, 0, 0), ('2021-06-08', 'BUYING CHANCE! for', 2359.0, 0, 0), ('2021-08-11', 'BUYING CHANCE! for', 2390.45, 0, 0), ('2021-11-16', 'BUYING CHANCE! for', 2406.65, 0, 0), ('2021-12-02', 'BUYING CHANCE! for', 2383.3, 0, 0), ('2021-12-10', 'BUYING CHANCE! for', 2332.8, 0, 0), ('2021-12-23', 'BUYING CHANCE! for', 2300.65, 0, 0)]",True
HDFC,0,0,"[('2019-02-04', 'BUYING CHANCE! for', 1978.5, 0, 0), ('2019-03-06', 'BUYING CHANCE! for', 1885.2, 0, 0), ('2019-05-02', 'BUYING CHANCE! for', 2017.4, 0, 0), ('2019-05-17', 'BUYING CHANCE! for', 1993.65, 0, 0), ('2019-06-27', 'BUYING CHANCE! for', 2195.45, 0, 0), ('2019-08-07', 'BUYING CHANCE! for', 2175.2, 0, 0), ('2019-08-27', 'BUYING CHANCE! for', 2174.3, 0, 0), ('2019-09-12', 'BUYING CHANCE! for', 2082.75, 0, 0), ('2019-09-23', 'BUYING CHANCE! for', 2162.0, 0, 0), ('2020-02-05', 'BUYING CHANCE! for', 2391.65, 0, 0), ('2020-08-12', 'BUYING CHANCE! for', 1814.2, 0, 0), ('2020-08-18', 'BUYING CHANCE! for', 1820.7, 0, 0), ('2020-09-30', 'BUYING CHANCE! for', 1740.05, 0, 0), ('2020-11-03', 'BUYING CHANCE! for', 2130.95, 0, 0), ('2021-02-02', 'BUYING CHANCE! for', 2659.0, 0, 0), ('2021-03-30', 'BUYING CHANCE! for', 2605.65, 0, 0), ('2021-03-31', 'BUYING CHANCE! for', 2498.1, 0, 0), ('2021-04-09', 'BUYING CHANCE! for', 2513.9, 0, 0), ('2021-04-15', 'BOUGHT for', 2547.15, 2547.15, 1), ('2021-05-10', 'BUYING CHANCE! for', 2531.35, 2547.15, 1), ('2021-05-18', 'BUYING CHANCE! for', 2502.85, 2547.15, 1), ('2021-07-06', 'BUYING CHANCE! for', 2496.4, 2547.15, 1), ('2021-08-03', 'BUYING CHANCE! for', 2554.65, 2547.15, 1), ('2021-09-24', 'BUYING CHANCE! for', 2839.0, 2547.15, 1), ('2021-10-14', 'BUYING CHANCE! for', 2808.75, 2547.15, 1), ('2021-11-01', 'SOLD for', 2887.95, 2547.15, 'PNL: ', 13.379659619574808), ('2022-01-04', 'BUYING CHANCE! for', 2675.3, 0, 0)]",False
ICICIBANK,0,0,"[('2019-01-31', 'BOUGHT for', 364.45, 364.45, 1), ('2019-02-22', 'BUYING CHANCE! for', 352.05, 364.45, 1), ('2019-04-11', 'BUYING CHANCE! for', 390.05, 364.45, 1), ('2019-05-20', 'BUYING CHANCE! for', 407.7, 364.45, 1), ('2019-06-06', 'SOLD for', 411.55, 364.45, 'PNL: ', 12.923583481959122), ('2019-06-19', 'BOUGHT for', 419.8, 419.8, 1), ('2019-07-29', 'BOUGHT for', 429.35, 424.57500000000005, 2), ('2019-08-09', 'BUYING CHANCE! for', 420.15, 424.57500000000005, 2), ('2019-08-27', 'BUYING CHANCE! for', 418.6, 424.57500000000005, 2), ('2019-09-13', 'BUYING CHANCE! for', 413.4, 424.57500000000005, 2), ('2020-01-10', 'BUYING CHANCE! for', 540.25, 424.57500000000005, 2), ('2020-02-05', 'BOUGHT for', 539.1, 462.75, 3), ('2020-02-25', 'SOLD for', 530.95, 462.75, 'PNL: ', 14.737979470556466), ('2020-09-29', 'BUYING CHANCE! for', 357.05, 0, 0), ('2020-11-03', 'BOUGHT for', 443.85, 443.85, 1), ('2020-12-21', 'SOLD for', 494.5, 443.85, 'PNL: ', 11.41151289850174), ('2021-02-01', 'BUYING CHANCE! for', 603.8, 0, 0), ('2021-03-10', 'BUYING CHANCE! for', 625.6, 0, 0), ('2021-04-15', 'BOUGHT for', 575.2, 575.2, 1), ('2021-06-04', 'SOLD for', 642.7, 575.2, 'PNL: ', 11.735048678720444), ('2021-06-16', 'BOUGHT for', 640.1, 640.1, 1), ('2021-08-26', 'BUYING CHANCE! for', 698.8, 640.1, 1), ('2021-09-23', 'BOUGHT for', 717.0, 678.55, 2), ('2021-09-24', 'BUYING CHANCE! for', 722.95, 678.55, 2), ('2021-10-12', 'BUYING CHANCE! for', 708.6, 678.55, 2), ('2021-10-29', 'SOLD for', 802.05, 678.55, 'PNL: ', 18.200574754992264), ('2021-12-09', 'BUYING CHANCE! for', 755.0, 0, 0), ('2021-12-23', 'BUYING CHANCE! for', 731.3, 0, 0), ('2021-12-24', 'BUYING CHANCE! for', 727.1, 0, 0)]",False
